date,yr,pnl
2024-07-22,2024,-540.0
2024-07-23,2024,-230.0
2024-07-26,2024,-41.0
2024-07-29,2024,-164.0
2024-07-30,2024,321.0
2024-07-31,2024,36.0
2024-08-01,2024,64.0
2024-08-02,2024,-35.0
2024-08-05,2024,-704.0
2024-08-06,2024,-30.0
2024-08-07,2024,645.0
2024-08-08,2024,143.0
2024-08-09,2024,-180.0
2024-08-12,2024,74.0
2024-08-14,2024,154.0
2024-08-15,2024,-150.0
2024-08-16,2024,-23.0
2024-08-19,2024,-47.0
2024-08-20,2024,-119.0
2024-08-21,2024,83.0
2024-08-22,2024,-144.0
2024-08-23,2024,-49.0
2024-08-26,2024,34.0
2024-08-27,2024,-16.0
2024-08-28,2024,215.0
2024-08-29,2024,-218.0
2024-08-30,2024,19.0
2024-09-02,2024,100.0
2024-09-03,2024,148.0
2024-09-04,2024,4.0
2024-09-06,2024,104.0
2024-09-09,2024,251.0
2024-09-10,2024,233.0
2024-09-11,2024,-103.0
2024-09-12,2024,-122.0
2024-09-13,2024,38.0
2024-09-16,2024,-10.0
2024-09-19,2024,-303.0
2024-09-20,2024,124.0
2024-09-23,2024,-40.0
2024-09-25,2024,-46.0
2024-09-27,2024,303.0
2024-09-30,2024,348.0
2024-10-01,2024,139.0
2024-10-07,2024,211.0
2024-10-08,2024,-29.0
2024-10-09,2024,-70.0
2024-10-11,2024,86.0
2024-10-15,2024,63.0
2024-10-16,2024,112.0
2024-10-23,2024,-109.0
2024-10-24,2024,73.0
2024-10-28,2024,-326.0
2024-10-29,2024,-171.0
2024-10-30,2024,173.0
2024-11-01,2024,167.0
2024-11-04,2024,243.0
2024-11-05,2024,328.0
2024-11-06,2024,60.0
2024-11-07,2024,-353.0
2024-11-08,2024,-14.0
2024-11-11,2024,14.0
2024-11-12,2024,126.0
2024-11-13,2024,15.0
2024-11-14,2024,-8.0
2024-11-15,2024,47.0
2024-11-18,2024,-63.0
2024-11-19,2024,221.0
2024-11-21,2024,-86.0
2024-11-22,2024,229.0
2024-11-25,2024,-191.0
2024-11-27,2024,266.0
2024-11-28,2024,-25.0
2024-11-29,2024,-87.0
2024-12-02,2024,292.0
2024-12-03,2024,37.0
2024-12-04,2024,93.0
2024-12-05,2024,-14.0
2024-12-06,2024,154.0
2024-12-10,2024,-150.0
2024-12-11,2024,146.0
2024-12-12,2024,-99.0
2024-12-13,2024,1.0
2024-12-16,2024,255.0
2024-12-17,2024,75.0
2024-12-18,2024,-181.0
2024-12-19,2024,53.0
2024-12-20,2024,140.0
2024-12-23,2024,339.0
2024-12-24,2024,221.0
2024-12-25,2024,-8.0
2024-12-26,2024,-38.0
2024-12-30,2024,37.0
2024-12-31,2024,-42.0
2025-01-02,2025,-95.0
2025-01-06,2025,-375.0
2025-01-07,2025,220.0
2025-01-08,2025,97.0
2025-01-09,2025,-173.0
2025-01-10,2025,-30.0
2025-01-13,2025,-449.0
2025-01-14,2025,169.0
2025-01-16,2025,-2.0
2025-01-20,2025,-87.0
2025-01-21,2025,55.0
2025-01-22,2025,103.0
2025-02-03,2025,-122.0
2025-02-04,2025,92.0
2025-02-05,2025,66.0
2025-02-06,2025,63.0
2025-02-10,2025,74.0
2025-02-11,2025,-45.0
2025-02-12,2025,-116.0
2025-02-14,2025,-159.0
2025-02-19,2025,39.0
2025-02-20,2025,17.0
2025-02-24,2025,-74.0
2025-02-25,2025,8.0
2025-02-26,2025,95.0
2025-02-27,2025,199.0
2025-03-03,2025,72.0
2025-03-04,2025,135.0
2025-03-06,2025,225.0
2025-03-07,2025,59.0
2025-03-10,2025,11.0
2025-03-11,2025,89.0
2025-03-12,2025,132.0
2025-03-13,2025,515.0
2025-03-14,2025,-163.0
2025-03-17,2025,10.0
2025-03-18,2025,-144.0
2025-03-19,2025,201.0
2025-03-21,2025,-144.0
2025-03-24,2025,-146.0
2025-03-25,2025,30.0
2025-03-26,2025,-95.0
2025-03-27,2025,-91.0
2025-03-28,2025,-106.0
2025-03-31,2025,125.0
2025-04-01,2025,158.0
2025-04-07,2025,-2.0
2025-04-08,2025,422.0
2025-04-09,2025,224.0
2025-04-10,2025,-2.0
2025-04-11,2025,503.0
2025-04-14,2025,299.0
2025-04-17,2025,-91.0
2025-04-18,2025,-16.0
2025-04-21,2025,-245.0
2025-04-22,2025,62.0
2025-04-23,2025,-318.0
2025-04-24,2025,178.0
2025-04-25,2025,106.0
2025-04-28,2025,-12.0
2025-04-29,2025,174.0
2025-04-30,2025,58.0
2025-05-05,2025,352.0
2025-05-06,2025,187.0
2025-05-07,2025,53.0
2025-05-08,2025,102.0
2025-05-09,2025,193.0
2025-05-13,2025,60.0
2025-05-14,2025,-102.0
2025-05-16,2025,48.0
2025-05-19,2025,-157.0
2025-05-20,2025,-248.0
2025-05-21,2025,203.0
2025-05-22,2025,-52.0
2025-05-23,2025,-84.0
2025-05-26,2025,62.0
2025-05-27,2025,164.0
2025-05-28,2025,160.0
2025-05-29,2025,-178.0
2025-06-02,2025,-112.0
2025-06-03,2025,-54.0
2025-06-04,2025,-209.0
2025-06-05,2025,-38.0
2025-06-06,2025,-4.0
2025-06-10,2025,244.0
2025-06-11,2025,-50.0
2025-06-12,2025,-69.0
2025-06-16,2025,-111.0
2025-06-17,2025,-24.0
2025-06-18,2025,214.0
2025-06-23,2025,129.0
2025-06-25,2025,-2.0
2025-07-02,2025,89.0
2025-07-03,2025,107.0
2025-07-08,2025,83.0
2025-07-09,2025,178.0
2025-07-14,2025,-108.0
2025-07-15,2025,272.0
2025-07-16,2025,211.0
2025-07-17,2025,176.0
2025-07-21,2025,-1.0
2025-07-23,2025,-199.0
2025-07-24,2025,-92.0
2025-07-29,2025,-173.0
2025-08-01,2025,303.0
2025-08-04,2025,-154.0
2025-08-05,2025,139.0
2025-08-06,2025,-13.0
2025-08-07,2025,345.0
2025-08-08,2025,-130.0
2025-08-12,2025,-16.0
2025-08-13,2025,-41.0
2025-08-15,2025,32.0
2025-08-18,2025,203.0
2025-08-20,2025,431.0
2025-08-21,2025,129.0
2025-08-22,2025,-122.0
2025-08-25,2025,-136.0
2025-09-01,2025,36.0
2025-09-02,2025,-71.0
2025-09-03,2025,-39.0
2025-09-04,2025,-60.0
2025-09-05,2025,49.0
2025-09-08,2025,-30.0
2025-09-11,2025,158.0
2025-09-18,2025,94.0
2025-09-19,2025,170.0
2025-09-22,2025,131.0
2025-09-23,2025,210.0
2025-09-24,2025,-144.0
2025-09-25,2025,-97.0
2025-09-26,2025,-290.0
2025-10-02,2025,27.0
2025-10-03,2025,247.0
2025-10-07,2025,-104.0
2025-10-08,2025,-35.0
2025-10-09,2025,114.0
2025-10-13,2025,401.0
2025-10-14,2025,563.0
2025-10-15,2025,178.0
2025-10-16,2025,-291.0
2025-10-20,2025,322.0
2025-10-21,2025,-72.0
2025-10-22,2025,6.0
2025-10-23,2025,149.0
2025-10-27,2025,-14.0
2025-10-28,2025,255.0
2025-10-30,2025,-28.0
2025-10-31,2025,9.0
2025-11-05,2025,-240.0
2025-11-06,2025,-25.0
2025-11-07,2025,-67.0
2025-11-10,2025,-252.0
2025-11-11,2025,385.0
2025-11-12,2025,33.0
2025-11-13,2025,-67.0
2025-11-14,2025,-14.0
2025-11-17,2025,-107.0
2025-11-18,2025,350.0
2025-11-19,2025,-59.0
2025-11-20,2025,184.0
2025-11-21,2025,-161.0
2025-11-25,2025,118.0
2025-11-27,2025,-64.0
2025-11-28,2025,-153.0
2025-12-01,2025,-255.0
2025-12-02,2025,-108.0
2025-12-03,2025,-44.0
2025-12-04,2025,-41.0
2025-12-05,2025,224.0
2025-12-08,2025,237.0
2025-12-09,2025,-129.0
2025-12-10,2025,114.0
2025-12-11,2025,-508.0
2025-12-12,2025,9.0
2025-12-15,2025,104.0
2025-12-16,2025,25.0
2025-12-17,2025,-27.0
2025-12-18,2025,123.0
2025-12-19,2025,-97.0
2025-12-22,2025,-76.0
2025-12-23,2025,28.0
2025-12-30,2025,83.0
2025-12-31,2025,177.0
2026-01-02,2026,-427.0
2026-01-05,2026,-423.0
2026-01-06,2026,327.0
2026-01-07,2026,83.0
2026-01-08,2026,79.0
2026-01-09,2026,-12.0
2026-01-12,2026,21.0
2026-01-15,2026,216.0
2026-01-16,2026,93.0
2026-01-19,2026,406.0
2026-01-20,2026,175.0
2026-01-21,2026,-46.0
2026-01-22,2026,14.0
2026-01-26,2026,-8.0
2026-01-27,2026,191.0
2026-01-28,2026,-167.0
2026-01-29,2026,235.0
2026-02-02,2026,-397.0
2026-02-03,2026,-93.0
2026-02-04,2026,275.0
2026-02-05,2026,64.0
2026-02-06,2026,339.0
2026-02-09,2026,191.0
2026-02-10,2026,403.0
2026-02-11,2026,351.0
2026-02-23,2026,-213.0
2026-02-24,2026,727.0
2026-02-25,2026,238.0
2026-02-26,2026,70.0
2026-03-02,2026,-506.0
2026-03-04,2026,-74.0
2026-03-05,2026,-261.0
2026-03-06,2026,-343.0
2026-03-09,2026,-302.0
2026-03-10,2026,563.0
2026-03-13,2026,660.0
2026-03-17,2026,175.0
2026-03-19,2026,-344.0
2026-03-23,2026,222.0
2026-03-24,2026,-520.0
2026-03-25,2026,-163.0
2026-03-26,2026,-393.0
2026-03-27,2026,147.0
2026-03-30,2026,-451.0
2026-03-31,2026,343.0
2026-04-01,2026,-367.0
2026-04-02,2026,1191.0
2026-04-07,2026,6.0
2026-04-08,2026,330.0
2026-04-09,2026,161.0
2026-04-10,2026,-328.0
2026-04-13,2026,-171.0
2026-04-14,2026,304.0
2026-04-15,2026,30.0
2026-04-20,2026,84.0
2026-04-23,2026,821.0
2026-04-24,2026,928.0
2026-04-27,2026,91.0
2026-04-28,2026,50.0
2026-04-29,2026,-218.0
2026-04-30,2026,286.0
2026-05-05,2026,91.0
2026-05-06,2026,158.0
2026-05-07,2026,-26.0
2026-05-08,2026,122.0
2026-05-11,2026,261.0
2026-05-12,2026,539.0
2026-05-13,2026,257.0
2026-05-14,2026,308.0
2026-05-18,2026,431.0
2026-05-19,2026,-294.0
2026-05-21,2026,-554.0
2026-05-22,2026,246.0
2026-05-25,2026,695.0
2026-05-26,2026,-363.0
2026-05-27,2026,-356.0
2026-05-28,2026,1340.0
2026-06-02,2026,-29.0
2026-06-03,2026,-73.0
2026-06-04,2026,-174.0
2026-06-05,2026,-229.0
2026-06-08,2026,903.0
2026-06-09,2026,-1009.0
2026-06-10,2026,407.0
2026-06-11,2026,146.0
2026-06-12,2026,737.0
2026-06-15,2026,-117.0
2026-06-16,2026,386.0
2026-06-17,2026,285.0
2026-06-18,2026,286.0
2026-06-22,2026,-1008.0
2026-06-23,2026,1358.0
2026-06-24,2026,-135.0
2026-06-25,2026,-442.0
2026-06-26,2026,1227.0
2026-06-29,2026,617.0
2026-06-30,2026,-703.0
2026-07-01,2026,296.0
2026-07-02,2026,473.0
2026-07-03,2026,656.0
2026-07-06,2026,-92.0
2026-07-07,2026,1262.0
2026-07-08,2026,-112.0
2026-07-09,2026,333.0
2026-07-14,2026,-652.0
2026-07-15,2026,-468.0
2026-07-16,2026,-186.0
2026-07-17,2026,-195.0
2026-07-20,2026,800.0
2026-07-22,2026,410.0
2026-07-24,2026,-367.0
2026-07-27,2026,-157.0
2026-07-28,2026,-492.0
2026-07-29,2026,-1380.0
2026-07-30,2026,804.0
2026-07-31,2026,-1383.0
2026-08-04,2026,659.0
2026-08-05,2026,172.0
2026-08-06,2026,-134.0
2026-08-10,2026,-2.0
2026-08-11,2026,-137.0
2026-08-13,2026,147.0
2026-08-17,2026,64.0
2026-08-18,2026,-894.0
2026-08-19,2026,443.0
2026-08-20,2026,-290.0
