side,c_min,filt,k,tgt,n,winrate,avg,total,max_loss,pf,t,tgt_hit
long,0,前日反向,140,100,261,0.582,0.52,137.0,-973.0,1.01,0.07,0.402
long,0,前日反向,140,150,261,0.556,2.58,674.0,-1012.0,1.05,0.27,0.245
long,0,前日反向,140,200,261,0.552,5.16,1347.0,-1012.0,1.1,0.53,0.123
long,0,前日反向,140,250,261,0.548,6.53,1704.0,-1012.0,1.13,0.66,0.084
long,0,前日反向,150,100,265,0.589,0.62,165.0,-974.0,1.01,0.08,0.4
long,0,前日反向,150,150,265,0.558,2.86,757.0,-1022.0,1.06,0.31,0.242
long,0,前日反向,150,200,265,0.555,5.71,1512.0,-1022.0,1.11,0.59,0.125
long,0,前日反向,150,250,265,0.551,6.77,1794.0,-1022.0,1.13,0.69,0.083
long,200,無,10,100,118,0.653,13.79,1627.0,-539.0,1.3,1.13,0.576
long,200,無,10,150,118,0.585,3.57,421.0,-1191.0,1.05,0.19,0.458
long,200,無,10,200,118,0.534,-12.05,-1422.0,-1191.0,0.86,-0.55,0.297
long,200,無,10,250,118,0.508,-11.75,-1387.0,-1191.0,0.87,-0.52,0.203
long,200,無,20,100,120,0.65,9.32,1118.0,-549.0,1.19,0.75,0.575
long,200,無,20,150,120,0.583,-1.68,-202.0,-1201.0,0.98,-0.09,0.433
long,200,無,20,200,120,0.533,-18.74,-2249.0,-1201.0,0.79,-0.86,0.283
long,200,無,20,250,120,0.517,-17.52,-2103.0,-1201.0,0.81,-0.78,0.192
long,200,無,30,100,125,0.664,10.53,1316.0,-559.0,1.22,0.86,0.576
long,200,無,30,150,125,0.584,-11.38,-1423.0,-1211.0,0.85,-0.6,0.392
long,200,無,30,200,125,0.536,-23.02,-2878.0,-1211.0,0.75,-1.09,0.256
long,200,無,30,250,125,0.52,-21.71,-2714.0,-1211.0,0.77,-1.0,0.168
long,200,無,40,100,131,0.664,1.11,146.0,-873.0,1.02,0.08,0.573
long,200,無,40,150,131,0.58,-7.85,-1028.0,-1221.0,0.9,-0.43,0.405
long,200,無,40,200,131,0.542,-18.65,-2443.0,-1221.0,0.79,-0.91,0.244
long,200,無,40,250,131,0.527,-18.23,-2388.0,-1221.0,0.8,-0.86,0.176
long,200,無,50,100,139,0.655,-5.83,-810.0,-1231.0,0.91,-0.36,0.561
long,200,無,50,150,139,0.576,-3.45,-480.0,-1231.0,0.95,-0.2,0.41
long,200,無,50,200,139,0.532,-14.59,-2028.0,-1231.0,0.83,-0.74,0.259
long,200,無,50,250,139,0.511,-16.18,-2249.0,-1231.0,0.82,-0.79,0.187
long,200,無,60,100,144,0.653,-8.19,-1179.0,-1241.0,0.88,-0.52,0.549
long,200,無,60,150,144,0.569,-14.88,-2143.0,-1241.0,0.81,-0.81,0.389
long,200,無,60,200,144,0.542,-17.09,-2461.0,-1241.0,0.8,-0.89,0.25
long,200,無,60,250,144,0.521,-17.91,-2579.0,-1241.0,0.8,-0.89,0.188
long,200,無,70,100,150,0.66,-7.01,-1051.0,-1251.0,0.89,-0.46,0.553
long,200,無,70,150,150,0.56,-18.7,-2805.0,-1251.0,0.77,-1.05,0.36
long,200,無,70,200,150,0.54,-18.73,-2810.0,-1251.0,0.78,-1.0,0.24
long,200,無,70,250,150,0.52,-19.22,-2883.0,-1251.0,0.79,-0.99,0.173
long,200,無,80,100,157,0.624,-12.57,-1973.0,-1261.0,0.81,-0.82,0.535
long,200,無,80,150,157,0.561,-15.78,-2477.0,-1261.0,0.8,-0.91,0.376
long,200,無,80,200,157,0.535,-19.19,-3013.0,-1261.0,0.78,-1.04,0.248
long,200,無,80,250,157,0.522,-15.21,-2388.0,-1261.0,0.83,-0.8,0.185
long,200,無,90,100,162,0.623,-11.59,-1878.0,-1271.0,0.83,-0.77,0.543
long,200,無,90,150,162,0.556,-17.97,-2911.0,-1271.0,0.78,-1.05,0.364
long,200,無,90,200,162,0.537,-17.53,-2840.0,-1271.0,0.8,-0.96,0.259
long,200,無,90,250,162,0.512,-18.1,-2933.0,-1271.0,0.8,-0.96,0.173
long,200,無,100,100,169,0.645,-7.54,-1275.0,-1281.0,0.88,-0.52,0.556
long,200,無,100,150,169,0.568,-15.57,-2632.0,-1281.0,0.81,-0.93,0.373
long,200,無,100,200,169,0.533,-17.91,-3027.0,-1281.0,0.8,-1.01,0.266
long,200,無,100,250,169,0.521,-13.23,-2236.0,-1281.0,0.85,-0.72,0.189
long,200,無,110,100,170,0.618,-17.23,-2929.0,-1291.0,0.76,-1.1,0.535
long,200,無,110,150,170,0.541,-20.19,-3432.0,-1291.0,0.76,-1.21,0.359
long,200,無,110,200,170,0.518,-19.4,-3298.0,-1291.0,0.79,-1.09,0.271
long,200,無,110,250,170,0.5,-17.16,-2917.0,-1291.0,0.82,-0.93,0.188
long,200,無,120,100,175,0.617,-18.7,-3273.0,-1301.0,0.74,-1.21,0.526
long,200,無,120,150,175,0.543,-20.67,-3617.0,-1301.0,0.75,-1.26,0.366
long,200,無,120,200,175,0.52,-20.85,-3648.0,-1301.0,0.77,-1.19,0.257
long,200,無,120,250,175,0.503,-19.98,-3497.0,-1301.0,0.79,-1.1,0.183
long,200,無,130,100,181,0.619,-11.58,-2096.0,-1311.0,0.83,-0.82,0.53
long,200,無,130,150,181,0.536,-23.49,-4251.0,-1311.0,0.72,-1.44,0.359
long,200,無,130,200,181,0.514,-20.99,-3799.0,-1311.0,0.77,-1.22,0.26
long,200,無,130,250,181,0.503,-18.76,-3396.0,-1311.0,0.8,-1.06,0.188
long,200,無,140,100,186,0.618,-15.46,-2875.0,-1321.0,0.78,-1.09,0.527
long,200,無,140,150,186,0.543,-22.74,-4230.0,-1321.0,0.73,-1.41,0.36
long,200,無,140,200,186,0.522,-20.8,-3869.0,-1321.0,0.77,-1.22,0.247
long,200,無,140,250,186,0.511,-17.73,-3298.0,-1321.0,0.81,-1.01,0.188
long,200,無,150,100,189,0.624,-16.05,-3033.0,-1331.0,0.77,-1.14,0.529
long,200,無,150,150,189,0.545,-22.67,-4285.0,-1331.0,0.73,-1.41,0.365
long,200,無,150,200,189,0.524,-20.67,-3907.0,-1331.0,0.77,-1.22,0.249
long,200,無,150,250,189,0.513,-17.64,-3334.0,-1331.0,0.81,-1.01,0.19
long,200,前日反向,10,100,52,0.654,16.21,843.0,-534.0,1.35,0.87,0.615
long,200,前日反向,10,150,52,0.615,21.27,1106.0,-843.0,1.34,0.78,0.538
long,200,前日反向,10,200,52,0.558,7.37,383.0,-882.0,1.09,0.22,0.385
long,200,前日反向,10,250,52,0.519,4.5,234.0,-882.0,1.05,0.13,0.231
long,200,前日反向,20,100,53,0.66,15.23,807.0,-544.0,1.32,0.81,0.623
long,200,前日反向,20,150,53,0.623,19.43,1030.0,-853.0,1.3,0.72,0.528
long,200,前日反向,20,200,53,0.566,6.0,318.0,-892.0,1.07,0.18,0.377
long,200,前日反向,20,250,53,0.528,-0.06,-3.0,-892.0,1.0,-0.0,0.208
long,200,前日反向,30,100,56,0.696,20.66,1157.0,-554.0,1.47,1.14,0.643
long,200,前日反向,30,150,56,0.643,17.88,1001.0,-863.0,1.28,0.69,0.5
long,200,前日反向,30,200,56,0.571,0.59,33.0,-902.0,1.01,0.02,0.339
long,200,前日反向,30,250,56,0.536,-5.3,-297.0,-902.0,0.94,-0.17,0.179
long,200,前日反向,40,100,61,0.705,7.72,471.0,-873.0,1.14,0.34,0.639
long,200,前日反向,40,150,61,0.623,17.69,1079.0,-873.0,1.29,0.73,0.492
long,200,前日反向,40,200,61,0.574,2.62,160.0,-912.0,1.03,0.09,0.295
long,200,前日反向,40,250,61,0.557,5.25,320.0,-912.0,1.07,0.17,0.197
long,200,前日反向,50,100,67,0.701,9.61,644.0,-883.0,1.17,0.46,0.642
long,200,前日反向,50,150,67,0.642,23.43,1570.0,-883.0,1.4,1.03,0.507
long,200,前日反向,50,200,67,0.597,11.24,753.0,-922.0,1.15,0.4,0.313
long,200,前日反向,50,250,67,0.582,15.51,1039.0,-922.0,1.2,0.54,0.224
long,200,前日反向,60,100,68,0.706,7.99,543.0,-893.0,1.14,0.38,0.632
long,200,前日反向,60,150,68,0.618,-0.44,-30.0,-932.0,0.99,-0.02,0.456
long,200,前日反向,60,200,68,0.603,7.13,485.0,-932.0,1.09,0.26,0.309
long,200,前日反向,60,250,68,0.588,11.19,761.0,-932.0,1.14,0.39,0.221
long,200,前日反向,70,100,71,0.704,7.14,507.0,-903.0,1.13,0.35,0.62
