side,c_min,filt,k,tgt,ex,n,winrate,avg,total,max_loss,pf,avg_h1,avg_h2
short,100,無,110,75,13:00,97,0.701,-4.22,-409.0,-614.0,0.92,-12.5,7.1
short,100,無,110,75,13:10,97,0.701,-10.91,-1058.0,-632.0,0.82,-17.1,-2.4
short,100,無,110,75,13:20,97,0.701,-7.11,-690.0,-600.0,0.88,-12.8,0.7
short,100,無,110,75,13:30,97,0.691,-5.87,-569.0,-606.0,0.89,-14.2,5.5
short,100,無,110,75,13:44,97,0.701,-3.53,-342.0,-605.0,0.93,-15.6,13.0
short,100,無,110,100,12:00,97,0.619,6.07,589.0,-574.0,1.11,-0.2,14.7
short,100,無,110,100,12:30,97,0.649,5.07,492.0,-629.0,1.09,-0.1,12.1
short,100,無,110,100,13:00,97,0.67,3.48,338.0,-614.0,1.06,-0.1,8.4
short,100,無,110,100,13:10,97,0.68,-1.24,-120.0,-632.0,0.98,-3.1,1.3
short,100,無,110,100,13:20,97,0.691,5.37,521.0,-600.0,1.09,1.1,11.2
short,100,無,110,100,13:30,97,0.68,6.98,677.0,-606.0,1.12,-0.8,17.6
short,100,無,110,100,13:44,97,0.691,10.11,981.0,-605.0,1.18,-1.8,26.4
short,100,無,110,150,12:00,97,0.526,1.86,180.0,-574.0,1.03,7.5,-5.9
short,100,無,110,150,12:30,97,0.567,1.8,175.0,-629.0,1.02,9.1,-8.1
short,100,無,110,150,13:00,97,0.567,-4.87,-472.0,-614.0,0.94,7.0,-21.1
short,100,無,110,150,13:10,97,0.577,-10.34,-1003.0,-632.0,0.88,7.1,-34.2
short,100,無,110,150,13:20,97,0.598,-0.66,-64.0,-600.0,0.99,11.3,-17.0
short,100,無,110,150,13:30,97,0.588,3.09,300.0,-606.0,1.04,9.9,-6.2
short,100,無,110,150,13:44,97,0.598,5.78,561.0,-605.0,1.07,7.9,2.9
short,100,無,110,200,12:00,97,0.495,10.68,1036.0,-574.0,1.15,9.0,13.0
short,100,無,110,200,12:30,97,0.546,11.74,1139.0,-629.0,1.15,10.0,14.1
short,100,無,110,200,13:00,97,0.526,4.11,399.0,-614.0,1.05,8.7,-2.2
short,100,無,110,200,13:10,97,0.536,-1.23,-119.0,-632.0,0.99,8.2,-14.1
short,100,無,110,200,13:20,97,0.557,9.3,902.0,-600.0,1.11,12.4,5.0
short,100,無,110,200,13:30,97,0.546,13.32,1292.0,-606.0,1.16,11.7,15.6
short,100,無,110,200,13:44,97,0.546,16.31,1582.0,-605.0,1.2,10.2,24.6
short,100,無,110,250,12:00,97,0.454,9.78,949.0,-574.0,1.13,1.6,21.0
short,100,無,110,250,12:30,97,0.515,15.31,1485.0,-629.0,1.19,4.9,29.5
short,100,無,110,250,13:00,97,0.495,8.47,822.0,-614.0,1.1,1.4,18.1
short,100,無,110,250,13:10,97,0.495,-0.09,-9.0,-632.0,1.0,-2.5,3.2
short,100,無,110,250,13:20,97,0.515,9.14,887.0,-600.0,1.1,0.5,20.9
short,100,無,110,250,13:30,97,0.495,12.37,1200.0,-606.0,1.14,-0.8,30.4
short,100,無,110,250,13:44,97,0.495,14.14,1372.0,-605.0,1.15,-4.0,39.0
short,100,無,120,50,12:00,98,0.724,-6.35,-622.0,-394.0,0.85,-18.3,10.3
short,100,無,120,50,12:30,98,0.755,-8.91,-873.0,-639.0,0.8,-21.6,8.8
short,100,無,120,50,13:00,98,0.776,-6.23,-611.0,-624.0,0.86,-19.0,11.5
short,100,無,120,50,13:10,98,0.776,-10.14,-994.0,-642.0,0.79,-21.5,5.7
short,100,無,120,50,13:20,98,0.786,-5.37,-526.0,-610.0,0.87,-16.4,9.9
short,100,無,120,50,13:30,98,0.776,-4.36,-427.0,-616.0,0.9,-19.4,16.5
short,100,無,120,50,13:44,98,0.786,-4.5,-441.0,-615.0,0.89,-19.7,16.7
short,100,無,120,75,12:00,98,0.663,-3.17,-311.0,-584.0,0.94,-10.4,6.9
short,100,無,120,75,12:30,98,0.694,-4.36,-427.0,-639.0,0.92,-13.3,8.1
short,100,無,120,75,13:00,98,0.704,-4.7,-461.0,-624.0,0.91,-12.3,5.8
short,100,無,120,75,13:10,98,0.694,-11.33,-1110.0,-642.0,0.82,-16.8,-3.7
short,100,無,120,75,13:20,98,0.704,-7.57,-742.0,-610.0,0.87,-12.5,-0.7
short,100,無,120,75,13:30,98,0.694,-6.34,-621.0,-616.0,0.89,-13.9,4.2
short,100,無,120,75,13:44,98,0.694,-3.92,-384.0,-615.0,0.93,-15.3,11.9
short,100,無,120,100,12:00,98,0.622,5.33,522.0,-584.0,1.1,0.1,12.6
short,100,無,120,100,12:30,98,0.653,4.34,425.0,-639.0,1.08,0.2,10.1
short,100,無,120,100,13:00,98,0.663,2.77,271.0,-624.0,1.05,0.2,6.3
short,100,無,120,100,13:10,98,0.673,-1.85,-181.0,-642.0,0.97,-2.6,-0.8
short,100,無,120,100,13:20,98,0.694,4.56,447.0,-610.0,1.08,1.6,8.7
short,100,無,120,100,13:30,98,0.684,6.51,638.0,-616.0,1.11,-0.3,16.0
short,100,無,120,100,13:44,98,0.684,9.84,964.0,-615.0,1.17,-1.3,25.3
short,100,無,120,150,12:00,98,0.531,1.0,98.0,-584.0,1.01,8.0,-8.7
short,100,無,120,150,12:30,98,0.571,0.51,50.0,-639.0,1.01,8.5,-10.7
short,100,無,120,150,13:00,98,0.561,-6.2,-608.0,-624.0,0.92,6.3,-23.6
short,100,無,120,150,13:10,98,0.571,-11.5,-1127.0,-642.0,0.87,6.7,-36.8
short,100,無,120,150,13:20,98,0.602,-1.29,-126.0,-610.0,0.98,11.8,-19.5
short,100,無,120,150,13:30,98,0.592,2.89,283.0,-616.0,1.04,11.1,-8.5
short,100,無,120,150,13:44,98,0.592,5.44,533.0,-615.0,1.07,9.1,0.3
short,100,無,120,200,12:00,98,0.5,5.87,575.0,-584.0,1.08,6.0,5.7
short,100,無,120,200,12:30,98,0.541,7.35,720.0,-639.0,1.09,5.3,10.2
short,100,無,120,200,13:00,98,0.51,-2.14,-210.0,-624.0,0.98,2.9,-9.1
short,100,無,120,200,13:10,98,0.51,-8.18,-802.0,-642.0,0.91,3.2,-24.0
short,100,無,120,200,13:20,98,0.541,2.22,218.0,-610.0,1.03,8.4,-6.3
short,100,無,120,200,13:30,98,0.531,4.72,463.0,-616.0,1.06,5.7,3.4
short,100,無,120,200,13:44,98,0.52,4.97,487.0,-615.0,1.06,1.5,9.8
short,100,無,120,250,12:00,98,0.459,7.09,695.0,-584.0,1.09,1.6,14.8
short,100,無,120,250,12:30,98,0.52,11.14,1092.0,-639.0,1.14,2.6,23.0
short,100,無,120,250,13:00,98,0.49,3.77,369.0,-624.0,1.04,-2.1,11.9
short,100,無,120,250,13:10,98,0.49,-4.81,-471.0,-642.0,0.95,-5.5,-3.8
short,100,無,120,250,13:20,98,0.52,4.69,460.0,-610.0,1.05,-1.1,12.8
short,100,無,120,250,13:30,98,0.5,8.37,820.0,-616.0,1.09,-2.0,22.8
short,100,無,120,250,13:44,98,0.49,9.19,901.0,-615.0,1.1,-5.1,29.1
short,100,無,130,50,12:00,100,0.73,-4.43,-443.0,-397.0,0.89,-17.6,14.5
short,100,無,130,50,12:30,100,0.76,-7.51,-751.0,-642.0,0.83,-20.6,11.3
short,100,無,130,50,13:00,100,0.79,-4.31,-431.0,-627.0,0.9,-17.9,15.2
short,100,無,130,50,13:10,100,0.79,-7.72,-772.0,-645.0,0.83,-21.5,12.1
short,100,無,130,50,13:20,100,0.79,-3.85,-385.0,-613.0,0.91,-16.7,14.7
short,100,無,130,50,13:30,100,0.79,-2.72,-272.0,-619.0,0.93,-18.3,19.6
short,100,無,130,50,13:44,100,0.8,-3.2,-320.0,-618.0,0.92,-18.9,19.4
short,100,無,130,75,12:00,100,0.67,-1.13,-113.0,-594.0,0.98,-10.1,11.8
short,100,無,130,75,12:30,100,0.69,-2.64,-264.0,-642.0,0.95,-12.9,12.2
short,100,無,130,75,13:00,100,0.71,-3.73,-373.0,-627.0,0.93,-11.9,8.0
short,100,無,130,75,13:10,100,0.72,-6.51,-651.0,-645.0,0.89,-14.9,5.6
short,100,無,130,75,13:20,100,0.72,-3.11,-311.0,-613.0,0.94,-10.8,8.0
short,100,無,130,75,13:30,100,0.72,-2.99,-299.0,-619.0,0.95,-12.1,10.1
short,100,無,130,75,13:44,100,0.72,-0.4,-40.0,-618.0,0.99,-13.5,18.4
short,100,無,130,100,12:00,100,0.64,9.07,907.0,-594.0,1.17,0.4,21.5
short,100,無,130,100,12:30,100,0.67,8.99,899.0,-642.0,1.16,0.5,21.1
short,100,無,130,100,13:00,100,0.69,7.97,797.0,-627.0,1.14,2.3,16.2
short,100,無,130,100,13:10,100,0.7,4.77,477.0,-645.0,1.08,-0.5,12.3
short,100,無,130,100,13:20,100,0.71,10.15,1015.0,-613.0,1.18,3.7,19.5
short,100,無,130,100,13:30,100,0.71,10.72,1072.0,-619.0,1.19,1.9,23.5
