date,yr,pnl,w
2025-05-08,2025,102.0,2025-W19
2025-05-13,2025,92.0,2025-W20
2025-05-14,2025,-98.0,2025-W20
2025-05-16,2025,48.0,2025-W20
2025-05-19,2025,-157.0,2025-W21
2025-05-20,2025,-248.0,2025-W21
2025-05-21,2025,203.0,2025-W21
2025-05-22,2025,-52.0,2025-W21
2025-05-23,2025,-84.0,2025-W21
2025-05-26,2025,62.0,2025-W22
2025-05-27,2025,164.0,2025-W22
2025-05-28,2025,63.0,2025-W22
2025-05-29,2025,-178.0,2025-W22
2025-06-02,2025,-112.0,2025-W23
2025-06-04,2025,-38.0,2025-W23
2025-06-06,2025,-4.0,2025-W23
2025-06-10,2025,244.0,2025-W24
2025-06-11,2025,-91.0,2025-W24
2025-06-12,2025,-69.0,2025-W24
2025-06-16,2025,-111.0,2025-W25
2025-06-17,2025,62.0,2025-W25
2025-06-18,2025,214.0,2025-W25
2025-06-23,2025,129.0,2025-W26
2025-06-25,2025,-102.0,2025-W26
2025-07-02,2025,89.0,2025-W27
2025-07-03,2025,107.0,2025-W27
2025-07-08,2025,83.0,2025-W28
2025-07-09,2025,178.0,2025-W28
2025-07-14,2025,-108.0,2025-W29
2025-07-15,2025,272.0,2025-W29
2025-07-17,2025,176.0,2025-W29
2025-07-21,2025,-1.0,2025-W30
2025-07-23,2025,-199.0,2025-W30
2025-07-24,2025,-92.0,2025-W30
2025-08-01,2025,303.0,2025-W31
2025-08-04,2025,-154.0,2025-W32
2025-08-05,2025,139.0,2025-W32
2025-08-06,2025,-13.0,2025-W32
2025-08-07,2025,345.0,2025-W32
2025-08-12,2025,-16.0,2025-W33
2025-08-13,2025,-13.0,2025-W33
2025-08-15,2025,32.0,2025-W33
2025-08-18,2025,203.0,2025-W34
2025-08-20,2025,431.0,2025-W34
2025-08-21,2025,129.0,2025-W34
2025-08-22,2025,-122.0,2025-W34
2025-08-25,2025,-137.0,2025-W35
2025-09-01,2025,36.0,2025-W36
2025-09-02,2025,-71.0,2025-W36
2025-09-03,2025,-39.0,2025-W36
2025-09-04,2025,-60.0,2025-W36
2025-09-05,2025,49.0,2025-W36
2025-09-08,2025,-30.0,2025-W37
2025-09-11,2025,144.0,2025-W37
2025-09-18,2025,94.0,2025-W38
2025-09-19,2025,21.0,2025-W38
2025-09-22,2025,131.0,2025-W39
2025-09-23,2025,210.0,2025-W39
2025-09-24,2025,-144.0,2025-W39
2025-09-25,2025,-97.0,2025-W39
2025-09-26,2025,-290.0,2025-W39
2025-10-02,2025,56.0,2025-W40
2025-10-03,2025,247.0,2025-W40
2025-10-07,2025,-47.0,2025-W41
2025-10-08,2025,-35.0,2025-W41
2025-10-09,2025,67.0,2025-W41
2025-10-13,2025,401.0,2025-W42
2025-10-14,2025,656.0,2025-W42
2025-10-15,2025,178.0,2025-W42
2025-10-16,2025,-120.0,2025-W42
2025-10-20,2025,322.0,2025-W43
2025-10-22,2025,6.0,2025-W43
2025-10-23,2025,149.0,2025-W43
2025-10-27,2025,-14.0,2025-W44
2025-10-28,2025,121.0,2025-W44
2025-10-30,2025,-28.0,2025-W44
2025-10-31,2025,9.0,2025-W44
2025-11-05,2025,-240.0,2025-W45
2025-11-06,2025,-14.0,2025-W45
2025-11-07,2025,-67.0,2025-W45
2025-11-10,2025,-252.0,2025-W46
2025-11-11,2025,259.0,2025-W46
2025-11-12,2025,33.0,2025-W46
2025-11-13,2025,-67.0,2025-W46
2025-11-14,2025,-14.0,2025-W46
2025-11-17,2025,-107.0,2025-W47
2025-11-18,2025,350.0,2025-W47
2025-11-19,2025,-59.0,2025-W47
2025-11-20,2025,184.0,2025-W47
2025-11-21,2025,-161.0,2025-W47
2025-11-25,2025,-46.0,2025-W48
2025-11-27,2025,28.0,2025-W48
2025-11-28,2025,-68.0,2025-W48
2025-12-02,2025,-108.0,2025-W49
2025-12-05,2025,224.0,2025-W49
2025-12-10,2025,114.0,2025-W50
2025-12-12,2025,9.0,2025-W50
2025-12-15,2025,104.0,2025-W51
2025-12-16,2025,25.0,2025-W51
2025-12-17,2025,-27.0,2025-W51
2025-12-18,2025,123.0,2025-W51
2025-12-19,2025,-6.0,2025-W51
2025-12-22,2025,-144.0,2025-W52
2025-12-30,2025,83.0,2026-W01
2025-12-31,2025,177.0,2026-W01
2026-01-02,2026,-427.0,2026-W01
2026-01-05,2026,-129.0,2026-W02
2026-01-06,2026,327.0,2026-W02
2026-01-07,2026,-27.0,2026-W02
2026-01-08,2026,79.0,2026-W02
2026-01-09,2026,-12.0,2026-W02
2026-01-12,2026,-79.0,2026-W03
2026-01-15,2026,216.0,2026-W03
2026-01-16,2026,93.0,2026-W03
2026-01-19,2026,406.0,2026-W04
2026-01-20,2026,175.0,2026-W04
2026-01-21,2026,-46.0,2026-W04
2026-01-22,2026,53.0,2026-W04
2026-01-26,2026,-8.0,2026-W05
2026-01-27,2026,191.0,2026-W05
2026-01-28,2026,-198.0,2026-W05
2026-01-29,2026,2.0,2026-W05
2026-02-02,2026,-397.0,2026-W06
2026-02-03,2026,-93.0,2026-W06
2026-02-04,2026,275.0,2026-W06
2026-02-05,2026,64.0,2026-W06
2026-02-06,2026,339.0,2026-W06
2026-02-09,2026,-30.0,2026-W07
2026-02-10,2026,403.0,2026-W07
2026-02-11,2026,351.0,2026-W07
2026-02-24,2026,727.0,2026-W09
2026-02-25,2026,238.0,2026-W09
2026-02-26,2026,70.0,2026-W09
2026-03-02,2026,-506.0,2026-W10
2026-03-04,2026,-74.0,2026-W10
2026-03-05,2026,-261.0,2026-W10
2026-03-06,2026,-343.0,2026-W10
2026-03-09,2026,-302.0,2026-W11
2026-03-10,2026,514.0,2026-W11
2026-03-13,2026,660.0,2026-W11
2026-03-19,2026,-344.0,2026-W12
2026-03-23,2026,222.0,2026-W13
2026-03-24,2026,-520.0,2026-W13
2026-03-27,2026,147.0,2026-W13
2026-03-30,2026,-451.0,2026-W14
2026-03-31,2026,343.0,2026-W14
2026-04-01,2026,-191.0,2026-W14
2026-04-02,2026,430.0,2026-W14
2026-04-08,2026,330.0,2026-W15
2026-04-09,2026,1.0,2026-W15
2026-04-10,2026,-111.0,2026-W15
2026-04-13,2026,138.0,2026-W16
2026-04-15,2026,368.0,2026-W16
2026-04-20,2026,381.0,2026-W17
2026-04-23,2026,636.0,2026-W17
2026-04-24,2026,928.0,2026-W17
2026-04-27,2026,270.0,2026-W18
2026-04-28,2026,50.0,2026-W18
2026-04-29,2026,-218.0,2026-W18
2026-04-30,2026,454.0,2026-W18
2026-05-05,2026,91.0,2026-W19
2026-05-06,2026,-123.0,2026-W19
2026-05-07,2026,-14.0,2026-W19
2026-05-08,2026,122.0,2026-W19
2026-05-11,2026,150.0,2026-W20
2026-05-12,2026,111.0,2026-W20
2026-05-13,2026,257.0,2026-W20
2026-05-14,2026,67.0,2026-W20
2026-05-18,2026,431.0,2026-W21
2026-05-19,2026,-294.0,2026-W21
2026-05-21,2026,9.0,2026-W21
2026-05-25,2026,695.0,2026-W22
2026-05-26,2026,-363.0,2026-W22
2026-05-27,2026,-118.0,2026-W22
2026-05-28,2026,1340.0,2026-W22
2026-06-02,2026,-29.0,2026-W23
2026-06-03,2026,15.0,2026-W23
2026-06-05,2026,-229.0,2026-W23
2026-06-08,2026,903.0,2026-W24
2026-06-09,2026,-460.0,2026-W24
2026-06-10,2026,407.0,2026-W24
2026-06-11,2026,146.0,2026-W24
2026-06-12,2026,144.0,2026-W24
2026-06-16,2026,-39.0,2026-W25
2026-06-17,2026,285.0,2026-W25
2026-06-22,2026,-363.0,2026-W26
2026-06-23,2026,735.0,2026-W26
2026-06-24,2026,-135.0,2026-W26
2026-06-25,2026,-442.0,2026-W26
2026-06-26,2026,984.0,2026-W26
2026-06-29,2026,617.0,2026-W27
2026-06-30,2026,-201.0,2026-W27
2026-07-01,2026,-153.0,2026-W27
2026-07-02,2026,473.0,2026-W27
2026-07-03,2026,656.0,2026-W27
2026-07-06,2026,-92.0,2026-W28
2026-07-07,2026,1196.0,2026-W28
2026-07-08,2026,-112.0,2026-W28
2026-07-09,2026,-9.0,2026-W28
2026-07-14,2026,-652.0,2026-W29
2026-07-15,2026,-180.0,2026-W29
2026-07-16,2026,-186.0,2026-W29
2026-07-17,2026,-195.0,2026-W29
2026-07-20,2026,800.0,2026-W30
2026-07-22,2026,308.0,2026-W30
2026-07-24,2026,-367.0,2026-W30
2026-07-27,2026,-157.0,2026-W31
2026-07-28,2026,-492.0,2026-W31
2026-07-29,2026,-1380.0,2026-W31
2026-07-30,2026,804.0,2026-W31
2026-07-31,2026,-278.0,2026-W31
2026-08-04,2026,659.0,2026-W32
2026-08-05,2026,256.0,2026-W32
2026-08-06,2026,-134.0,2026-W32
2026-08-10,2026,169.0,2026-W33
2026-08-11,2026,-137.0,2026-W33
2026-08-13,2026,141.0,2026-W33
2026-08-17,2026,64.0,2026-W34
2026-08-19,2026,443.0,2026-W34
2026-08-20,2026,-290.0,2026-W34
