str_min,agree,m,tgt,ex,B,n,n_loss,n_loss100,winrate,avg,total,max_loss,pf,be
0.0,False,40,150,13:20,50,58,37,6,0.362,29.4,1705.0,-476.0,2.27,0.534
0.0,False,40,150,13:20,80,58,23,7,0.603,58.17,3374.0,-476.0,3.14,0.241
0.0,False,40,150,13:20,120,58,16,9,0.724,64.09,3717.0,-476.0,2.9,0.069
0.0,False,40,150,13:30,0,58,13,12,0.776,68.38,3966.0,-372.0,2.85,0.0
0.0,False,40,150,13:30,50,58,36,5,0.379,34.38,1994.0,-372.0,2.7,0.534
0.0,False,40,150,13:30,80,58,22,7,0.621,63.55,3686.0,-372.0,3.66,0.241
0.0,False,40,150,13:30,120,58,15,10,0.741,69.12,4009.0,-372.0,3.1,0.069
0.0,False,40,150,13:44,0,58,14,10,0.759,68.36,3965.0,-367.0,2.71,0.0
0.0,False,40,150,13:44,50,58,36,5,0.379,34.47,1999.0,-367.0,2.59,0.534
0.0,False,40,150,13:44,80,58,23,7,0.603,62.03,3598.0,-367.0,3.39,0.241
0.0,False,40,150,13:44,120,58,16,8,0.724,71.79,4164.0,-367.0,3.18,0.069
0.0,False,40,200,13:20,0,58,17,11,0.707,72.03,4178.0,-476.0,2.66,0.0
0.0,False,40,200,13:20,50,58,44,6,0.241,22.5,1305.0,-476.0,1.96,0.655
0.0,False,40,200,13:20,80,58,34,7,0.414,45.26,2625.0,-476.0,2.65,0.431
0.0,False,40,200,13:20,120,58,29,9,0.5,46.86,2718.0,-476.0,2.37,0.293
0.0,False,40,200,13:30,0,58,19,12,0.672,71.16,4127.0,-372.0,2.75,0.0
0.0,False,40,200,13:30,50,58,43,5,0.259,25.62,1486.0,-372.0,2.25,0.655
0.0,False,40,200,13:30,80,58,34,7,0.414,47.9,2778.0,-372.0,2.97,0.448
0.0,False,40,200,13:30,120,58,29,10,0.5,46.88,2719.0,-372.0,2.41,0.31
0.0,False,40,200,13:44,0,58,20,12,0.655,69.17,4012.0,-367.0,2.42,0.0
0.0,False,40,200,13:44,50,58,45,5,0.224,22.4,1299.0,-367.0,2.02,0.69
0.0,False,40,200,13:44,80,58,37,7,0.362,43.07,2498.0,-367.0,2.63,0.483
0.0,False,40,200,13:44,120,58,33,8,0.431,47.0,2726.0,-367.0,2.41,0.362
0.0,False,40,250,13:20,0,58,20,12,0.655,69.33,4021.0,-511.0,2.3,0.0
0.0,False,40,250,13:20,50,58,46,6,0.207,24.02,1393.0,-476.0,2.02,0.69
0.0,False,40,250,13:20,80,58,39,7,0.328,39.88,2313.0,-476.0,2.44,0.517
0.0,False,40,250,13:20,120,58,34,9,0.414,42.34,2456.0,-476.0,2.23,0.379
0.0,False,40,250,13:30,0,58,21,13,0.638,71.52,4148.0,-542.0,2.41,0.0
0.0,False,40,250,13:30,50,58,45,5,0.224,27.64,1603.0,-372.0,2.34,0.69
